train_number,train_name,source,destination,travel_class,booking_date,travel_date,days_before_travel,waitlist_position,month,day_of_week,is_festival_season,is_peak_season,is_weekend,train_type,confirmed,total_seats_class,cancellation_rate
12187,Mumbai Garib Rath,KYN,NDLS,3A,2025-11-03,2026-01-21,79,0,1,2,False,False,False,Garib Rath,True,348,0.22
12909,Garib Rath,ST,BRC,3A,2026-01-14,2026-02-13,30,0,2,4,False,False,False,Garib Rath,True,284,0.145
12953,August Kranti Rajdhani,MMCT,KOTA,3A,2025-11-12,2026-01-23,72,0,1,4,False,False,False,Rajdhani,True,159,0.202
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-12-31,2026-02-16,47,0,2,0,False,False,False,Duronto,True,204,0.234
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-01-15,2026-01-28,13,0,1,2,False,False,False,Duronto,True,333,0.097
12925,Paschim Express,BRC,SWM,3A,2026-01-05,2026-04-02,87,0,4,3,True,True,False,Superfast,True,308,0.197
12951,Mumbai Rajdhani,MMCT,NDLS,2A,2026-01-06,2026-01-11,5,95,1,6,False,False,True,Rajdhani,False,184,0.098
12621,Tamil Nadu Express,JHS,AGC,2A,2026-03-31,2026-04-09,9,30,4,3,True,True,False,Superfast,False,348,0.216
12137,Punjab Mail,NMD,MMR,3A,2025-12-01,2026-01-16,46,0,1,4,False,False,False,Mail,True,391,0.081
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-10-13,2026-01-31,110,0,1,5,False,False,True,Duronto,True,140,0.314
12951,Mumbai Rajdhani,BRC,NDLS,2A,2025-11-24,2026-03-04,100,0,3,2,True,False,False,Rajdhani,True,177,0.13
12953,August Kranti Rajdhani,RTM,KOTA,2A,2026-01-08,2026-02-05,28,0,2,3,False,False,False,Rajdhani,True,166,0.117
12903,Golden Temple Mail,KOTA,MTJ,SL,2025-10-01,2026-01-19,110,0,1,0,False,False,False,Superfast,True,192,0.155
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2026-01-30,2026-02-13,14,23,2,4,False,False,False,Duronto,False,69,0.083
12137,Punjab Mail,ET,NDLS,3A,2026-02-02,2026-03-29,55,0,3,6,True,False,True,Mail,True,147,0.126
12137,Punjab Mail,CSMT,AGC,GN,2026-01-09,2026-04-06,87,0,4,0,True,True,False,Mail,True,270,0.071
12909,Garib Rath,KOTA,NDLS,3A,2025-11-18,2026-02-18,92,0,2,2,False,False,False,Garib Rath,True,391,0.173
12137,Punjab Mail,BSL,AGC,2A,2026-02-09,2026-03-05,24,73,3,3,True,False,False,Mail,False,365,0.221
12137,Punjab Mail,GWL,AGC,3A,2026-01-01,2026-02-06,36,14,2,4,False,False,False,Mail,True,214,0.189
12621,Tamil Nadu Express,BSL,NDLS,GN,2025-10-23,2026-02-01,101,0,2,6,False,False,True,Superfast,True,195,0.205
12187,Mumbai Garib Rath,BSL,BPL,3A,2025-11-25,2026-02-19,86,0,2,3,False,False,False,Garib Rath,True,151,0.094
12951,Mumbai Rajdhani,BRC,SWM,3A,2025-10-04,2026-01-20,108,0,1,1,False,False,False,Rajdhani,True,372,0.223
12137,Punjab Mail,JHS,NDLS,2A,2026-03-17,2026-04-04,18,1,4,5,True,True,True,Mail,True,104,0.284
12903,Golden Temple Mail,BL,NDLS,GN,2026-03-17,2026-03-23,6,109,3,0,True,False,False,Superfast,True,118,0.29
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-12-02,2026-03-16,104,0,3,0,True,False,False,Duronto,True,330,0.184
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-11-07,2026-02-11,96,0,2,2,False,False,False,Duronto,True,191,0.28
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-11-25,2026-01-20,56,0,1,1,False,False,False,Duronto,True,213,0.318
12953,August Kranti Rajdhani,ST,RTM,1A,2026-02-19,2026-04-09,49,7,4,3,True,True,False,Rajdhani,True,327,0.19
12951,Mumbai Rajdhani,BRC,SWM,2A,2025-12-01,2026-03-26,115,0,3,3,True,False,False,Rajdhani,True,60,0.307
12187,Mumbai Garib Rath,BPL,GWL,3A,2025-10-28,2026-02-25,120,0,2,2,False,False,False,Garib Rath,True,249,0.306
12137,Punjab Mail,GWL,NDLS,GN,2025-12-17,2026-03-29,102,0,3,6,True,False,True,Mail,True,299,0.116
12137,Punjab Mail,JHS,GWL,SL,2026-02-22,2026-04-06,43,33,4,0,True,True,False,Mail,True,289,0.326
12187,Mumbai Garib Rath,JHS,GWL,3A,2026-01-08,2026-03-24,75,0,3,1,True,False,False,Garib Rath,True,92,0.243
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-01-26,2026-02-28,33,0,2,5,False,False,True,Duronto,True,244,0.133
12137,Punjab Mail,BSL,NDLS,1A,2025-11-14,2026-01-13,60,0,1,1,False,False,False,Mail,True,229,0.117
12953,August Kranti Rajdhani,MMCT,ST,1A,2025-12-19,2026-01-13,25,0,1,1,False,False,False,Rajdhani,True,392,0.084
12903,Golden Temple Mail,SWM,NDLS,SL,2026-03-08,2026-03-29,21,117,3,6,True,False,True,Superfast,False,133,0.339
12953,August Kranti Rajdhani,KOTA,NDLS,2A,2026-01-24,2026-04-07,73,0,4,1,True,True,False,Rajdhani,True,242,0.169
12903,Golden Temple Mail,BVI,RTM,2A,2025-11-21,2026-02-18,89,0,2,2,False,False,False,Superfast,True,357,0.292
12187,Mumbai Garib Rath,CSMT,BPL,3A,2025-12-05,2026-02-27,84,0,2,4,False,False,False,Garib Rath,True,381,0.152
12137,Punjab Mail,JHS,GWL,SL,2026-02-15,2026-04-02,46,43,4,3,True,True,False,Mail,True,272,0.103
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-01-31,2026-03-27,55,0,3,4,True,False,False,Duronto,True,94,0.134
12621,Tamil Nadu Express,BSL,AGC,GN,2025-12-02,2026-01-14,43,16,1,2,False,False,False,Superfast,True,158,0.156
12925,Paschim Express,KOTA,MTJ,SL,2025-11-02,2026-01-12,71,0,1,0,False,False,False,Superfast,True,147,0.076
12137,Punjab Mail,JHS,AGC,SL,2025-12-22,2026-03-14,82,0,3,5,True,False,True,Mail,True,58,0.078
12903,Golden Temple Mail,KOTA,NDLS,3A,2026-02-25,2026-04-05,39,0,4,6,True,True,True,Superfast,True,226,0.178
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-12-18,2026-02-14,58,0,2,5,False,False,True,Duronto,True,148,0.145
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-12-09,2026-03-13,94,0,3,4,True,False,False,Duronto,True,351,0.343
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2026-01-03,2026-02-09,37,0,2,0,False,False,False,Duronto,False,323,0.088
12951,Mumbai Rajdhani,MMCT,SWM,3A,2025-09-29,2026-01-27,120,0,1,1,False,False,False,Rajdhani,True,301,0.081
12951,Mumbai Rajdhani,KOTA,NDLS,2A,2025-12-29,2026-02-23,56,6,2,0,False,False,False,Rajdhani,True,294,0.084
12953,August Kranti Rajdhani,RTM,NDLS,1A,2026-01-18,2026-04-01,73,0,4,2,True,True,False,Rajdhani,True,127,0.095
12187,Mumbai Garib Rath,BSL,BPL,3A,2026-03-08,2026-03-23,15,81,3,0,True,False,False,Garib Rath,False,165,0.283
12137,Punjab Mail,JHS,NDLS,3A,2025-12-07,2026-03-27,110,0,3,4,True,False,False,Mail,True,206,0.221
12951,Mumbai Rajdhani,MMCT,KOTA,3A,2026-01-17,2026-02-13,27,0,2,4,False,False,False,Rajdhani,True,88,0.097
12137,Punjab Mail,JHS,NDLS,3A,2026-02-05,2026-02-09,4,83,2,0,False,False,False,Mail,False,282,0.071
12903,Golden Temple Mail,BRC,NDLS,3A,2025-12-02,2026-01-25,54,0,1,6,False,False,True,Superfast,True,186,0.298
12953,August Kranti Rajdhani,MMCT,BRC,2A,2026-01-07,2026-03-24,76,0,3,1,True,False,False,Rajdhani,True,274,0.087
12925,Paschim Express,SWM,NDLS,GN,2025-11-26,2026-01-21,56,0,1,2,False,False,False,Superfast,True,215,0.231
12951,Mumbai Rajdhani,MMCT,KOTA,3A,2025-12-08,2026-03-25,107,0,3,2,True,False,False,Rajdhani,True,60,0.35
12925,Paschim Express,MMCT,BRC,GN,2026-01-28,2026-04-04,66,0,4,5,True,True,True,Superfast,True,192,0.104
12187,Mumbai Garib Rath,BPL,NDLS,3A,2026-03-01,2026-03-12,11,67,3,3,True,False,False,Garib Rath,False,103,0.307
12909,Garib Rath,BRC,NDLS,3A,2025-12-09,2026-03-03,84,0,3,1,True,False,False,Garib Rath,True,331,0.061
12953,August Kranti Rajdhani,BRC,KOTA,2A,2026-02-17,2026-03-03,14,99,3,1,True,False,False,Rajdhani,True,286,0.174
12903,Golden Temple Mail,MTJ,NDLS,GN,2025-12-18,2026-03-08,80,0,3,6,True,False,True,Superfast,True,154,0.13
12267,Mumbai Duronto,MMCT,NDLS,SL,2025-12-30,2026-01-14,15,78,1,2,False,False,False,Duronto,True,209,0.215
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-10-10,2026-01-25,107,0,1,6,False,False,True,Duronto,True,110,0.244
12267,Mumbai Duronto,MMCT,NDLS,3A,2026-01-19,2026-03-13,53,0,3,4,True,False,False,Duronto,True,246,0.107
12187,Mumbai Garib Rath,JHS,GWL,3A,2026-01-29,2026-03-05,35,16,3,3,True,False,False,Garib Rath,True,51,0.135
12925,Paschim Express,MTJ,NDLS,GN,2026-01-04,2026-03-13,68,0,3,4,True,False,False,Superfast,True,332,0.279
12137,Punjab Mail,JHS,MTJ,2A,2025-11-13,2026-02-10,89,0,2,1,False,False,False,Mail,True,169,0.307
12137,Punjab Mail,CSMT,BPL,SL,2025-11-30,2026-02-28,90,0,2,5,False,False,True,Mail,True,389,0.288
12267,Mumbai Duronto,MMCT,NDLS,2A,2026-01-22,2026-03-27,64,0,3,4,True,False,False,Duronto,True,101,0.312
12621,Tamil Nadu Express,KYN,JHS,GN,2026-01-28,2026-01-29,1,114,1,3,False,False,False,Superfast,True,88,0.191
12925,Paschim Express,KOTA,NDLS,GN,2025-10-30,2026-01-21,83,0,1,2,False,False,False,Superfast,True,395,0.308
12137,Punjab Mail,ET,NDLS,SL,2025-11-30,2026-03-21,111,0,3,5,True,False,True,Mail,False,85,0.12
12925,Paschim Express,BRC,RTM,GN,2026-03-21,2026-04-02,12,19,4,3,True,True,False,Superfast,True,64,0.064
12951,Mumbai Rajdhani,KOTA,NDLS,2A,2025-12-05,2026-01-29,55,0,1,3,False,False,False,Rajdhani,True,142,0.101
12953,August Kranti Rajdhani,KOTA,NDLS,3A,2025-11-15,2026-02-10,87,0,2,1,False,False,False,Rajdhani,True,348,0.093
12621,Tamil Nadu Express,ET,NDLS,SL,2025-10-19,2026-01-12,85,0,1,0,False,False,False,Superfast,True,288,0.32
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-10-27,2026-02-24,120,0,2,1,False,False,False,Duronto,True,203,0.242
12137,Punjab Mail,BSL,GWL,3A,2026-02-04,2026-03-01,25,0,3,6,True,False,True,Mail,True,233,0.222
12925,Paschim Express,MMCT,MTJ,SL,2026-03-23,2026-03-24,1,33,3,1,True,False,False,Superfast,True,196,0.283
12903,Golden Temple Mail,RTM,SWM,3A,2025-11-25,2026-02-12,79,0,2,3,False,False,False,Superfast,True,387,0.254
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-11-28,2026-03-08,100,0,3,6,True,False,True,Duronto,False,236,0.27
12953,August Kranti Rajdhani,BRC,KOTA,3A,2025-12-11,2026-02-02,53,0,2,0,False,False,False,Rajdhani,True,237,0.209
12925,Paschim Express,ST,KOTA,GN,2025-11-06,2026-02-17,103,0,2,1,False,False,False,Superfast,True,223,0.291
12621,Tamil Nadu Express,KYN,BSL,3A,2025-12-18,2026-04-07,110,0,4,1,True,True,False,Superfast,True,253,0.34
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-02-12,2026-02-13,1,0,2,4,False,False,False,Duronto,True,394,0.129
12137,Punjab Mail,MTJ,NDLS,1A,2025-11-15,2026-02-09,86,0,2,0,False,False,False,Mail,True,367,0.315
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-03-25,2026-04-02,8,90,4,3,True,True,False,Duronto,False,259,0.085
12951,Mumbai Rajdhani,MMCT,SWM,2A,2026-01-09,2026-01-23,14,31,1,4,False,False,False,Rajdhani,True,393,0.335
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-11-01,2026-01-23,83,0,1,4,False,False,False,Duronto,True,365,0.172
12925,Paschim Express,MMCT,SWM,3A,2026-01-11,2026-03-08,56,12,3,6,True,False,True,Superfast,True,238,0.213
12909,Garib Rath,MMCT,KOTA,3A,2026-01-02,2026-01-26,24,0,1,0,False,False,False,Garib Rath,True,377,0.229
12951,Mumbai Rajdhani,MMCT,SWM,1A,2026-03-08,2026-03-24,16,0,3,1,True,False,False,Rajdhani,True,156,0.226
12903,Golden Temple Mail,RTM,SWM,2A,2025-12-25,2026-01-29,35,0,1,3,False,False,False,Superfast,True,106,0.248
12951,Mumbai Rajdhani,BRC,KOTA,2A,2025-11-01,2026-02-10,101,0,2,1,False,False,False,Rajdhani,True,58,0.102
12951,Mumbai Rajdhani,BRC,NDLS,2A,2025-11-19,2026-01-25,67,0,1,6,False,False,True,Rajdhani,True,293,0.184
12909,Garib Rath,KOTA,NDLS,3A,2025-12-06,2026-02-08,64,0,2,6,False,False,True,Garib Rath,True,72,0.268
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-01-15,2026-01-18,3,132,1,6,False,False,True,Duronto,False,105,0.197
12621,Tamil Nadu Express,KYN,MMR,SL,2025-11-13,2026-01-29,77,0,1,3,False,False,False,Superfast,True,190,0.237
12187,Mumbai Garib Rath,JHS,NDLS,3A,2026-01-02,2026-03-19,76,0,3,3,True,False,False,Garib Rath,True,308,0.232
12953,August Kranti Rajdhani,MMCT,NDLS,3A,2025-10-20,2026-02-07,110,0,2,5,False,False,True,Rajdhani,True,166,0.174
12621,Tamil Nadu Express,JHS,NDLS,2A,2026-01-25,2026-03-06,40,0,3,4,True,False,False,Superfast,True,128,0.256
12621,Tamil Nadu Express,KYN,MMR,2A,2026-02-24,2026-03-07,11,19,3,5,True,False,True,Superfast,False,116,0.217
12187,Mumbai Garib Rath,JHS,NDLS,3A,2026-01-04,2026-02-25,52,0,2,2,False,False,False,Garib Rath,True,76,0.341
12187,Mumbai Garib Rath,BSL,GWL,3A,2026-01-02,2026-03-16,73,0,3,0,True,False,False,Garib Rath,True,386,0.195
12953,August Kranti Rajdhani,BRC,NDLS,2A,2026-02-01,2026-02-15,14,0,2,6,False,False,True,Rajdhani,True,337,0.342
12187,Mumbai Garib Rath,JHS,GWL,3A,2026-01-31,2026-02-03,3,79,2,1,False,False,False,Garib Rath,False,223,0.155
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-03-15,2026-04-02,18,0,4,3,True,True,False,Duronto,True,242,0.176
12909,Garib Rath,BVI,KOTA,3A,2025-11-21,2026-02-21,92,0,2,5,False,False,True,Garib Rath,True,340,0.229
12951,Mumbai Rajdhani,BRC,KOTA,3A,2026-04-01,2026-04-07,6,45,4,1,True,True,False,Rajdhani,False,298,0.232
12137,Punjab Mail,BSL,BPL,GN,2026-02-10,2026-02-24,14,0,2,1,False,False,False,Mail,True,353,0.196
12925,Paschim Express,MMCT,RTM,GN,2025-11-03,2026-01-18,76,0,1,6,False,False,True,Superfast,False,204,0.334
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-12-27,2026-01-11,15,64,1,6,False,False,True,Duronto,True,167,0.2
12909,Garib Rath,MMCT,KOTA,3A,2025-11-19,2026-01-13,55,15,1,1,False,False,False,Garib Rath,True,344,0.179
12137,Punjab Mail,MTJ,NDLS,3A,2026-02-17,2026-03-03,14,4,3,1,True,False,False,Mail,True,366,0.188
12909,Garib Rath,MMCT,KOTA,3A,2026-02-04,2026-03-07,31,0,3,5,True,False,True,Garib Rath,True,208,0.274
12903,Golden Temple Mail,RTM,SWM,2A,2026-01-27,2026-04-02,65,0,4,3,True,True,False,Superfast,True,311,0.108
12909,Garib Rath,ST,NDLS,3A,2025-12-25,2026-01-24,30,0,1,5,False,False,True,Garib Rath,True,128,0.278
12953,August Kranti Rajdhani,ST,NDLS,2A,2025-12-18,2026-03-24,96,0,3,1,True,False,False,Rajdhani,True,279,0.254
12187,Mumbai Garib Rath,GWL,NDLS,3A,2026-02-17,2026-03-08,19,13,3,6,True,False,True,Garib Rath,True,190,0.227
12909,Garib Rath,KOTA,NDLS,3A,2026-01-09,2026-03-09,59,0,3,0,True,False,False,Garib Rath,True,89,0.243
12953,August Kranti Rajdhani,KOTA,NDLS,2A,2026-01-07,2026-03-22,74,0,3,6,True,False,True,Rajdhani,True,71,0.185
12187,Mumbai Garib Rath,GWL,NDLS,3A,2025-12-25,2026-03-12,77,0,3,3,True,False,False,Garib Rath,True,81,0.185
12909,Garib Rath,MMCT,NDLS,3A,2026-02-06,2026-02-11,5,122,2,2,False,False,False,Garib Rath,False,362,0.098
12909,Garib Rath,ST,KOTA,3A,2025-11-16,2026-02-23,99,0,2,0,False,False,False,Garib Rath,True,76,0.287
12909,Garib Rath,MMCT,BRC,3A,2026-01-26,2026-04-07,71,0,4,1,True,True,False,Garib Rath,True,179,0.267
12187,Mumbai Garib Rath,KYN,JHS,3A,2026-01-21,2026-04-05,74,0,4,6,True,True,True,Garib Rath,True,229,0.143
12137,Punjab Mail,NMD,BSL,3A,2025-12-19,2026-02-28,71,0,2,5,False,False,True,Mail,True,218,0.294
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-11-28,2026-01-13,46,0,1,1,False,False,False,Duronto,True,224,0.334
12621,Tamil Nadu Express,BSL,BPL,3A,2026-01-01,2026-01-20,19,38,1,1,False,False,False,Superfast,True,326,0.301
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-03-12,2026-03-28,16,0,3,5,True,False,True,Duronto,True,369,0.293
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-02-20,2026-04-07,46,0,4,1,True,True,False,Duronto,True,195,0.276
12621,Tamil Nadu Express,BSL,NDLS,3A,2026-02-01,2026-03-12,39,43,3,3,True,False,False,Superfast,False,342,0.345
12621,Tamil Nadu Express,ET,NDLS,GN,2026-01-16,2026-02-05,20,0,2,3,False,False,False,Superfast,True,378,0.194
12909,Garib Rath,KOTA,NDLS,3A,2025-12-16,2026-01-21,36,0,1,2,False,False,False,Garib Rath,True,312,0.094
12137,Punjab Mail,KYN,ET,SL,2025-11-03,2026-02-24,113,0,2,1,False,False,False,Mail,True,262,0.066
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-02-17,2026-02-27,10,0,2,4,False,False,False,Duronto,True,382,0.151
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-11-15,2026-03-12,117,0,3,3,True,False,False,Duronto,True,121,0.278
12621,Tamil Nadu Express,AGC,NDLS,2A,2026-02-10,2026-02-12,2,65,2,3,False,False,False,Superfast,False,361,0.208
12953,August Kranti Rajdhani,BRC,RTM,2A,2026-01-02,2026-01-17,15,31,1,5,False,False,True,Rajdhani,False,284,0.069
12621,Tamil Nadu Express,CSMT,ET,3A,2026-01-28,2026-03-06,37,0,3,4,True,False,False,Superfast,True,263,0.106
12953,August Kranti Rajdhani,KOTA,NDLS,1A,2026-01-13,2026-03-21,67,0,3,5,True,False,True,Rajdhani,True,309,0.216
12137,Punjab Mail,JHS,GWL,SL,2025-12-27,2026-02-12,47,0,2,3,False,False,False,Mail,True,226,0.122
12953,August Kranti Rajdhani,KOTA,NDLS,1A,2026-02-20,2026-02-25,5,149,2,2,False,False,False,Rajdhani,False,400,0.189
12621,Tamil Nadu Express,MMR,ET,2A,2025-12-09,2026-03-10,91,0,3,1,True,False,False,Superfast,False,153,0.063
12903,Golden Temple Mail,MMCT,KOTA,SL,2025-12-27,2026-03-02,65,0,3,0,True,False,False,Superfast,True,328,0.192
12951,Mumbai Rajdhani,BRC,SWM,2A,2025-09-29,2026-01-17,110,0,1,5,False,False,True,Rajdhani,True,219,0.132
12909,Garib Rath,BRC,NDLS,3A,2025-11-07,2026-03-01,114,0,3,6,True,False,True,Garib Rath,True,145,0.199
12621,Tamil Nadu Express,BPL,NDLS,SL,2025-10-11,2026-01-21,102,0,1,2,False,False,False,Superfast,True,90,0.179
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-02-11,2026-02-21,10,0,2,5,False,False,True,Duronto,True,268,0.1
12621,Tamil Nadu Express,BPL,AGC,2A,2025-11-24,2026-02-25,93,0,2,2,False,False,False,Superfast,True,272,0.132
12951,Mumbai Rajdhani,MMCT,NDLS,2A,2026-02-01,2026-04-07,65,0,4,1,True,True,False,Rajdhani,True,65,0.093
12187,Mumbai Garib Rath,GWL,NDLS,3A,2026-01-03,2026-01-19,16,31,1,0,False,False,False,Garib Rath,True,246,0.335
12951,Mumbai Rajdhani,BRC,NDLS,2A,2026-01-11,2026-02-27,47,15,2,4,False,False,False,Rajdhani,True,321,0.16
12909,Garib Rath,ST,BRC,3A,2026-01-31,2026-02-03,3,137,2,1,False,False,False,Garib Rath,False,110,0.129
12925,Paschim Express,MTJ,NDLS,SL,2025-12-16,2026-03-14,88,0,3,5,True,False,True,Superfast,True,119,0.306
12621,Tamil Nadu Express,MMR,NDLS,GN,2026-03-28,2026-04-08,11,61,4,2,True,True,False,Superfast,True,331,0.213
12925,Paschim Express,ST,NDLS,3A,2025-11-17,2026-02-26,101,0,2,3,False,False,False,Superfast,True,112,0.346
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-02-04,2026-03-22,46,0,3,6,True,False,True,Duronto,True,332,0.089
12953,August Kranti Rajdhani,MMCT,RTM,2A,2025-12-12,2026-03-13,91,0,3,4,True,False,False,Rajdhani,True,259,0.297
12953,August Kranti Rajdhani,ST,KOTA,3A,2026-02-28,2026-03-09,9,90,3,0,True,False,False,Rajdhani,False,332,0.242
12267,Mumbai Duronto,MMCT,NDLS,1A,2025-10-12,2026-01-26,106,0,1,0,False,False,False,Duronto,True,205,0.099
12909,Garib Rath,BVI,KOTA,3A,2025-10-05,2026-01-21,108,0,1,2,False,False,False,Garib Rath,True,375,0.337
12925,Paschim Express,ST,NDLS,SL,2026-01-01,2026-03-20,78,0,3,4,True,False,False,Superfast,True,378,0.101
12187,Mumbai Garib Rath,KYN,BPL,3A,2025-12-07,2026-03-24,107,0,3,1,True,False,False,Garib Rath,False,64,0.074
12187,Mumbai Garib Rath,BSL,JHS,3A,2026-01-13,2026-04-02,79,0,4,3,True,True,False,Garib Rath,False,371,0.214
12925,Paschim Express,MTJ,NDLS,GN,2026-01-31,2026-03-10,38,0,3,1,True,False,False,Superfast,True,262,0.195
12903,Golden Temple Mail,RTM,SWM,SL,2025-11-02,2026-02-20,110,0,2,4,False,False,False,Superfast,True,226,0.343
12267,Mumbai Duronto,MMCT,NDLS,3A,2026-02-09,2026-03-11,30,0,3,2,True,False,False,Duronto,True,99,0.065
12137,Punjab Mail,AGC,NDLS,2A,2025-10-13,2026-01-31,110,0,1,5,False,False,True,Mail,True,345,0.266
12903,Golden Temple Mail,BL,KOTA,GN,2025-12-18,2026-02-19,63,0,2,3,False,False,False,Superfast,True,96,0.334
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-12-13,2026-02-25,74,0,2,2,False,False,False,Duronto,False,194,0.198
12621,Tamil Nadu Express,ET,BPL,2A,2025-12-04,2026-01-28,55,0,1,2,False,False,False,Superfast,True,256,0.16
12137,Punjab Mail,CSMT,MTJ,GN,2026-02-02,2026-02-26,24,0,2,3,False,False,False,Mail,True,280,0.279
12925,Paschim Express,BVI,BRC,2A,2026-01-08,2026-02-27,50,26,2,4,False,False,False,Superfast,False,237,0.276
12903,Golden Temple Mail,MTJ,NDLS,2A,2026-01-10,2026-01-15,5,45,1,3,False,False,False,Superfast,False,315,0.187
12187,Mumbai Garib Rath,JHS,GWL,3A,2025-12-01,2026-03-30,119,0,3,0,True,False,False,Garib Rath,True,251,0.347
12925,Paschim Express,KOTA,NDLS,GN,2025-12-24,2026-03-24,90,0,3,1,True,False,False,Superfast,True,58,0.161
12953,August Kranti Rajdhani,RTM,NDLS,3A,2025-12-19,2026-04-09,111,0,4,3,True,True,False,Rajdhani,True,355,0.192
12187,Mumbai Garib Rath,JHS,GWL,3A,2025-12-29,2026-03-13,74,0,3,4,True,False,False,Garib Rath,True,372,0.266
12137,Punjab Mail,NMD,BPL,1A,2026-01-27,2026-04-10,73,0,4,4,True,True,False,Mail,True,59,0.182
12137,Punjab Mail,NMD,AGC,2A,2026-01-23,2026-03-16,52,0,3,0,True,False,False,Mail,True,81,0.262
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-01-17,2026-03-19,61,0,3,3,True,False,False,Duronto,True,138,0.188
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-12-31,2026-04-08,98,0,4,2,True,True,False,Duronto,True,185,0.233
