date,station_code,station_name,hour,passenger_count,platform_capacity,utilization,crowd_level,day_of_week
2026-03-12,BVI,Borivali,13,3888,3000,1.296,Critical,3
2026-03-12,BVI,Borivali,14,3263,3000,1.088,Critical,3
2026-03-12,BVI,Borivali,15,4092,3000,1.364,Critical,3
2026-03-12,BVI,Borivali,16,3884,3000,1.295,Critical,3
2026-03-12,BVI,Borivali,17,6767,3000,2.256,Critical,3
2026-03-12,BVI,Borivali,18,11353,3000,3.784,Critical,3
2026-03-12,BVI,Borivali,19,6983,3000,2.328,Critical,3
2026-03-12,BVI,Borivali,20,5664,3000,1.888,Critical,3
2026-03-12,BVI,Borivali,21,5110,3000,1.703,Critical,3
2026-03-12,BVI,Borivali,22,2498,3000,0.833,High,3
2026-03-12,BVI,Borivali,23,2716,3000,0.905,Critical,3
2026-03-12,BL,Valsad,0,170,1500,0.113,Low,3
2026-03-12,BL,Valsad,1,161,1500,0.107,Low,3
2026-03-12,BL,Valsad,2,90,1500,0.06,Low,3
2026-03-12,BL,Valsad,3,66,1500,0.044,Low,3
2026-03-12,BL,Valsad,4,90,1500,0.06,Low,3
2026-03-12,BL,Valsad,5,668,1500,0.445,Moderate,3
2026-03-12,BL,Valsad,6,538,1500,0.359,Low,3
2026-03-12,BL,Valsad,7,2182,1500,1.455,Critical,3
2026-03-12,BL,Valsad,8,1030,1500,0.687,Moderate,3
2026-03-12,BL,Valsad,9,1861,1500,1.241,Critical,3
2026-03-12,BL,Valsad,10,862,1500,0.575,Moderate,3
2026-03-12,BL,Valsad,11,983,1500,0.655,Moderate,3
2026-03-12,BL,Valsad,12,621,1500,0.414,Moderate,3
2026-03-12,BL,Valsad,13,643,1500,0.429,Moderate,3
2026-03-12,BL,Valsad,14,454,1500,0.303,Low,3
2026-03-12,BL,Valsad,15,1022,1500,0.681,Moderate,3
2026-03-12,BL,Valsad,16,895,1500,0.597,Moderate,3
2026-03-12,BL,Valsad,17,2462,1500,1.641,Critical,3
2026-03-12,BL,Valsad,18,1685,1500,1.123,Critical,3
2026-03-12,BL,Valsad,19,2211,1500,1.474,Critical,3
2026-03-12,BL,Valsad,20,667,1500,0.445,Moderate,3
2026-03-12,BL,Valsad,21,902,1500,0.601,Moderate,3
2026-03-12,BL,Valsad,22,538,1500,0.359,Low,3
2026-03-12,BL,Valsad,23,498,1500,0.332,Low,3
2026-03-12,ST,Surat,0,1357,3000,0.452,Moderate,3
2026-03-12,ST,Surat,1,849,3000,0.283,Low,3
2026-03-12,ST,Surat,2,1285,3000,0.428,Moderate,3
2026-03-12,ST,Surat,3,646,3000,0.215,Low,3
2026-03-12,ST,Surat,4,468,3000,0.156,Low,3
2026-03-12,ST,Surat,5,3706,3000,1.235,Critical,3
2026-03-12,ST,Surat,6,4273,3000,1.424,Critical,3
2026-03-12,ST,Surat,7,8572,3000,2.857,Critical,3
2026-03-12,ST,Surat,8,8310,3000,2.77,Critical,3
2026-03-12,ST,Surat,9,9380,3000,3.127,Critical,3
2026-03-12,ST,Surat,10,8132,3000,2.711,Critical,3
2026-03-12,ST,Surat,11,6627,3000,2.209,Critical,3
2026-03-12,ST,Surat,12,3842,3000,1.281,Critical,3
2026-03-12,ST,Surat,13,3450,3000,1.15,Critical,3
2026-03-12,ST,Surat,14,3793,3000,1.264,Critical,3
2026-03-12,ST,Surat,15,6371,3000,2.124,Critical,3
2026-03-12,ST,Surat,16,5609,3000,1.87,Critical,3
2026-03-12,ST,Surat,17,10533,3000,3.511,Critical,3
2026-03-12,ST,Surat,18,9815,3000,3.272,Critical,3
2026-03-12,ST,Surat,19,9821,3000,3.274,Critical,3
2026-03-12,ST,Surat,20,6691,3000,2.23,Critical,3
2026-03-12,ST,Surat,21,5385,3000,1.795,Critical,3
2026-03-12,ST,Surat,22,4117,3000,1.372,Critical,3
2026-03-12,ST,Surat,23,3535,3000,1.178,Critical,3
2026-03-12,BRC,Vadodara Junction,0,308,3500,0.088,Low,3
2026-03-12,BRC,Vadodara Junction,1,606,3500,0.173,Low,3
2026-03-12,BRC,Vadodara Junction,2,375,3500,0.107,Low,3
2026-03-12,BRC,Vadodara Junction,3,522,3500,0.149,Low,3
2026-03-12,BRC,Vadodara Junction,4,505,3500,0.144,Low,3
2026-03-12,BRC,Vadodara Junction,5,3357,3500,0.959,Critical,3
2026-03-12,BRC,Vadodara Junction,6,2430,3500,0.694,Moderate,3
2026-03-12,BRC,Vadodara Junction,7,11208,3500,3.202,Critical,3
2026-03-12,BRC,Vadodara Junction,8,12392,3500,3.541,Critical,3
2026-03-12,BRC,Vadodara Junction,9,7312,3500,2.089,Critical,3
2026-03-12,BRC,Vadodara Junction,10,4974,3500,1.421,Critical,3
2026-03-12,BRC,Vadodara Junction,11,7309,3500,2.088,Critical,3
2026-03-12,BRC,Vadodara Junction,12,4194,3500,1.198,Critical,3
2026-03-12,BRC,Vadodara Junction,13,2750,3500,0.786,High,3
2026-03-12,BRC,Vadodara Junction,14,3621,3500,1.035,Critical,3
2026-03-12,BRC,Vadodara Junction,15,5915,3500,1.69,Critical,3
2026-03-12,BRC,Vadodara Junction,16,5257,3500,1.502,Critical,3
2026-03-12,BRC,Vadodara Junction,17,6646,3500,1.899,Critical,3
2026-03-12,BRC,Vadodara Junction,18,13984,3500,3.995,Critical,3
2026-03-12,BRC,Vadodara Junction,19,11148,3500,3.185,Critical,3
2026-03-12,BRC,Vadodara Junction,20,5877,3500,1.679,Critical,3
2026-03-12,BRC,Vadodara Junction,21,5946,3500,1.699,Critical,3
2026-03-12,BRC,Vadodara Junction,22,4273,3500,1.221,Critical,3
2026-03-12,BRC,Vadodara Junction,23,3297,3500,0.942,Critical,3
2026-03-12,RTM,Ratlam Junction,0,253,2500,0.101,Low,3
2026-03-12,RTM,Ratlam Junction,1,308,2500,0.123,Low,3
2026-03-12,RTM,Ratlam Junction,2,282,2500,0.113,Low,3
2026-03-12,RTM,Ratlam Junction,3,337,2500,0.135,Low,3
2026-03-12,RTM,Ratlam Junction,4,432,2500,0.173,Low,3
2026-03-12,RTM,Ratlam Junction,5,1331,2500,0.532,Moderate,3
2026-03-12,RTM,Ratlam Junction,6,1681,2500,0.672,Moderate,3
2026-03-12,RTM,Ratlam Junction,7,3405,2500,1.362,Critical,3
2026-03-12,RTM,Ratlam Junction,8,3704,2500,1.482,Critical,3
2026-03-12,RTM,Ratlam Junction,9,3621,2500,1.448,Critical,3
2026-03-12,RTM,Ratlam Junction,10,1961,2500,0.784,High,3
2026-03-12,RTM,Ratlam Junction,11,2316,2500,0.926,Critical,3
2026-03-12,RTM,Ratlam Junction,12,1740,2500,0.696,Moderate,3
2026-03-12,RTM,Ratlam Junction,13,1293,2500,0.517,Moderate,3
2026-03-12,RTM,Ratlam Junction,14,1197,2500,0.479,Moderate,3
2026-03-12,RTM,Ratlam Junction,15,2017,2500,0.807,High,3
2026-03-12,RTM,Ratlam Junction,16,1761,2500,0.704,High,3
2026-03-12,RTM,Ratlam Junction,17,3988,2500,1.595,Critical,3
2026-03-12,RTM,Ratlam Junction,18,3260,2500,1.304,Critical,3
2026-03-12,RTM,Ratlam Junction,19,3882,2500,1.553,Critical,3
2026-03-12,RTM,Ratlam Junction,20,2492,2500,0.997,Critical,3
2026-03-12,RTM,Ratlam Junction,21,1753,2500,0.701,High,3
2026-03-12,RTM,Ratlam Junction,22,2009,2500,0.804,High,3
2026-03-12,RTM,Ratlam Junction,23,1459,2500,0.584,Moderate,3
2026-03-12,KOTA,Kota Junction,0,574,3000,0.191,Low,3
2026-03-12,KOTA,Kota Junction,1,511,3000,0.17,Low,3
2026-03-12,KOTA,Kota Junction,2,545,3000,0.182,Low,3
2026-03-12,KOTA,Kota Junction,3,508,3000,0.169,Low,3
2026-03-12,KOTA,Kota Junction,4,484,3000,0.161,Low,3
2026-03-12,KOTA,Kota Junction,5,2159,3000,0.72,High,3
2026-03-12,KOTA,Kota Junction,6,2486,3000,0.829,High,3
2026-03-12,KOTA,Kota Junction,7,6333,3000,2.111,Critical,3
2026-03-12,KOTA,Kota Junction,8,4511,3000,1.504,Critical,3
2026-03-12,KOTA,Kota Junction,9,4742,3000,1.581,Critical,3
2026-03-12,KOTA,Kota Junction,10,2347,3000,0.782,High,3
2026-03-12,KOTA,Kota Junction,11,2405,3000,0.802,High,3
2026-03-12,KOTA,Kota Junction,12,2460,3000,0.82,High,3
2026-03-12,KOTA,Kota Junction,13,2685,3000,0.895,High,3
2026-03-12,KOTA,Kota Junction,14,1674,3000,0.558,Moderate,3
2026-03-12,KOTA,Kota Junction,15,3576,3000,1.192,Critical,3
2026-03-12,KOTA,Kota Junction,16,3042,3000,1.014,Critical,3
2026-03-12,KOTA,Kota Junction,17,4644,3000,1.548,Critical,3
2026-03-12,KOTA,Kota Junction,18,5044,3000,1.681,Critical,3
2026-03-12,KOTA,Kota Junction,19,6383,3000,2.128,Critical,3
2026-03-12,KOTA,Kota Junction,20,3849,3000,1.283,Critical,3
2026-03-12,KOTA,Kota Junction,21,3456,3000,1.152,Critical,3
2026-03-12,KOTA,Kota Junction,22,2873,3000,0.958,Critical,3
2026-03-12,KOTA,Kota Junction,23,1493,3000,0.498,Moderate,3
2026-03-12,SWM,Sawai Madhopur,0,187,2000,0.093,Low,3
2026-03-12,SWM,Sawai Madhopur,1,212,2000,0.106,Low,3
2026-03-12,SWM,Sawai Madhopur,2,228,2000,0.114,Low,3
2026-03-12,SWM,Sawai Madhopur,3,276,2000,0.138,Low,3
2026-03-12,SWM,Sawai Madhopur,4,242,2000,0.121,Low,3
2026-03-12,SWM,Sawai Madhopur,5,849,2000,0.424,Moderate,3
2026-03-12,SWM,Sawai Madhopur,6,937,2000,0.469,Moderate,3
2026-03-12,SWM,Sawai Madhopur,7,2885,2000,1.442,Critical,3
2026-03-12,SWM,Sawai Madhopur,8,2801,2000,1.401,Critical,3
2026-03-12,SWM,Sawai Madhopur,9,2124,2000,1.062,Critical,3
2026-03-12,SWM,Sawai Madhopur,10,1679,2000,0.84,High,3
2026-03-12,SWM,Sawai Madhopur,11,1041,2000,0.52,Moderate,3
2026-03-12,SWM,Sawai Madhopur,12,556,2000,0.278,Low,3
2026-03-12,SWM,Sawai Madhopur,13,760,2000,0.38,Low,3
2026-03-12,SWM,Sawai Madhopur,14,779,2000,0.39,Low,3
2026-03-12,SWM,Sawai Madhopur,15,1424,2000,0.712,High,3
2026-03-12,SWM,Sawai Madhopur,16,1153,2000,0.577,Moderate,3
2026-03-12,SWM,Sawai Madhopur,17,1946,2000,0.973,Critical,3
2026-03-12,SWM,Sawai Madhopur,18,1581,2000,0.79,High,3
2026-03-12,SWM,Sawai Madhopur,19,1506,2000,0.753,High,3
2026-03-12,SWM,Sawai Madhopur,20,1142,2000,0.571,Moderate,3
2026-03-12,SWM,Sawai Madhopur,21,1413,2000,0.707,High,3
2026-03-12,SWM,Sawai Madhopur,22,1034,2000,0.517,Moderate,3
2026-03-12,SWM,Sawai Madhopur,23,1001,2000,0.5,Moderate,3
2026-03-12,MTJ,Mathura Junction,0,408,3000,0.136,Low,3
2026-03-12,MTJ,Mathura Junction,1,264,3000,0.088,Low,3
2026-03-12,MTJ,Mathura Junction,2,719,3000,0.24,Low,3
2026-03-12,MTJ,Mathura Junction,3,359,3000,0.12,Low,3
2026-03-12,MTJ,Mathura Junction,4,346,3000,0.115,Low,3
2026-03-12,MTJ,Mathura Junction,5,1701,3000,0.567,Moderate,3
2026-03-12,MTJ,Mathura Junction,6,1960,3000,0.653,Moderate,3
2026-03-12,MTJ,Mathura Junction,7,5423,3000,1.808,Critical,3
2026-03-12,MTJ,Mathura Junction,8,8041,3000,2.68,Critical,3
2026-03-12,MTJ,Mathura Junction,9,5360,3000,1.787,Critical,3
2026-03-12,MTJ,Mathura Junction,10,3619,3000,1.206,Critical,3
2026-03-12,MTJ,Mathura Junction,11,2608,3000,0.869,High,3
2026-03-12,MTJ,Mathura Junction,12,1679,3000,0.56,Moderate,3
2026-03-12,MTJ,Mathura Junction,13,2805,3000,0.935,Critical,3
2026-03-12,MTJ,Mathura Junction,14,2523,3000,0.841,High,3
2026-03-12,MTJ,Mathura Junction,15,2298,3000,0.766,High,3
2026-03-12,MTJ,Mathura Junction,16,3197,3000,1.066,Critical,3
2026-03-12,MTJ,Mathura Junction,17,9080,3000,3.027,Critical,3
2026-03-12,MTJ,Mathura Junction,18,5672,3000,1.891,Critical,3
2026-03-12,MTJ,Mathura Junction,19,5913,3000,1.971,Critical,3
2026-03-12,MTJ,Mathura Junction,20,3264,3000,1.088,Critical,3
2026-03-12,MTJ,Mathura Junction,21,2931,3000,0.977,Critical,3
2026-03-12,MTJ,Mathura Junction,22,1916,3000,0.639,Moderate,3
2026-03-12,MTJ,Mathura Junction,23,2284,3000,0.761,High,3
2026-03-12,NDLS,New Delhi,0,4057,8000,0.507,Moderate,3
2026-03-12,NDLS,New Delhi,1,4227,8000,0.528,Moderate,3
2026-03-12,NDLS,New Delhi,2,2566,8000,0.321,Low,3
2026-03-12,NDLS,New Delhi,3,5432,8000,0.679,Moderate,3
2026-03-12,NDLS,New Delhi,4,3719,8000,0.465,Moderate,3
2026-03-12,NDLS,New Delhi,5,16216,8000,2.027,Critical,3
2026-03-12,NDLS,New Delhi,6,24213,8000,3.027,Critical,3
2026-03-12,NDLS,New Delhi,7,49675,8000,6.209,Critical,3
2026-03-12,NDLS,New Delhi,8,40314,8000,5.039,Critical,3
2026-03-12,NDLS,New Delhi,9,65216,8000,8.152,Critical,3
2026-03-12,NDLS,New Delhi,10,31598,8000,3.95,Critical,3
2026-03-12,NDLS,New Delhi,11,29054,8000,3.632,Critical,3
2026-03-12,NDLS,New Delhi,12,19409,8000,2.426,Critical,3
2026-03-12,NDLS,New Delhi,13,19722,8000,2.465,Critical,3
2026-03-12,NDLS,New Delhi,14,22475,8000,2.809,Critical,3
2026-03-12,NDLS,New Delhi,15,25792,8000,3.224,Critical,3
2026-03-12,NDLS,New Delhi,16,30545,8000,3.818,Critical,3
2026-03-12,NDLS,New Delhi,17,75255,8000,9.407,Critical,3
2026-03-12,NDLS,New Delhi,18,64072,8000,8.009,Critical,3
2026-03-12,NDLS,New Delhi,19,73024,8000,9.128,Critical,3
2026-03-12,NDLS,New Delhi,20,31705,8000,3.963,Critical,3
2026-03-12,NDLS,New Delhi,21,26302,8000,3.288,Critical,3
2026-03-12,NDLS,New Delhi,22,15189,8000,1.899,Critical,3
2026-03-12,NDLS,New Delhi,23,13600,8000,1.7,Critical,3
2026-03-12,CSMT,Mumbai CSMT,0,3119,9000,0.347,Low,3
2026-03-12,CSMT,Mumbai CSMT,1,3300,9000,0.367,Low,3
2026-03-12,CSMT,Mumbai CSMT,2,3385,9000,0.376,Low,3
2026-03-12,CSMT,Mumbai CSMT,3,1697,9000,0.189,Low,3
2026-03-12,CSMT,Mumbai CSMT,4,4240,9000,0.471,Moderate,3
2026-03-12,CSMT,Mumbai CSMT,5,17462,9000,1.94,Critical,3
2026-03-12,CSMT,Mumbai CSMT,6,14471,9000,1.608,Critical,3
2026-03-12,CSMT,Mumbai CSMT,7,49721,9000,5.525,Critical,3
2026-03-12,CSMT,Mumbai CSMT,8,44021,9000,4.891,Critical,3
2026-03-12,CSMT,Mumbai CSMT,9,42489,9000,4.721,Critical,3
2026-03-12,CSMT,Mumbai CSMT,10,23453,9000,2.606,Critical,3
2026-03-12,CSMT,Mumbai CSMT,11,21096,9000,2.344,Critical,3
2026-03-12,CSMT,Mumbai CSMT,12,15780,9000,1.753,Critical,3
2026-03-12,CSMT,Mumbai CSMT,13,14574,9000,1.619,Critical,3
2026-03-12,CSMT,Mumbai CSMT,14,19265,9000,2.141,Critical,3
2026-03-12,CSMT,Mumbai CSMT,15,20749,9000,2.305,Critical,3
2026-03-12,CSMT,Mumbai CSMT,16,20667,9000,2.296,Critical,3
2026-03-12,CSMT,Mumbai CSMT,17,29833,9000,3.315,Critical,3
2026-03-12,CSMT,Mumbai CSMT,18,41338,9000,4.593,Critical,3
2026-03-12,CSMT,Mumbai CSMT,19,46381,9000,5.153,Critical,3
2026-03-12,CSMT,Mumbai CSMT,20,18527,9000,2.059,Critical,3
2026-03-12,CSMT,Mumbai CSMT,21,19321,9000,2.147,Critical,3
2026-03-12,CSMT,Mumbai CSMT,22,14670,9000,1.63,Critical,3
2026-03-12,CSMT,Mumbai CSMT,23,15014,9000,1.668,Critical,3
2026-03-12,KYN,Kalyan Junction,0,946,4000,0.236,Low,3
2026-03-12,KYN,Kalyan Junction,1,822,4000,0.205,Low,3
2026-03-12,KYN,Kalyan Junction,2,858,4000,0.214,Low,3
2026-03-12,KYN,Kalyan Junction,3,1257,4000,0.314,Low,3
2026-03-12,KYN,Kalyan Junction,4,1109,4000,0.277,Low,3
2026-03-12,KYN,Kalyan Junction,5,3918,4000,0.98,Critical,3
2026-03-12,KYN,Kalyan Junction,6,3784,4000,0.946,Critical,3
2026-03-12,KYN,Kalyan Junction,7,12643,4000,3.161,Critical,3
2026-03-12,KYN,Kalyan Junction,8,8841,4000,2.21,Critical,3
2026-03-12,KYN,Kalyan Junction,9,10100,4000,2.525,Critical,3
2026-03-12,KYN,Kalyan Junction,10,8099,4000,2.025,Critical,3
2026-03-12,KYN,Kalyan Junction,11,5836,4000,1.459,Critical,3
2026-03-12,KYN,Kalyan Junction,12,3584,4000,0.896,High,3
2026-03-12,KYN,Kalyan Junction,13,4378,4000,1.095,Critical,3
2026-03-12,KYN,Kalyan Junction,14,3645,4000,0.911,Critical,3
2026-03-12,KYN,Kalyan Junction,15,4850,4000,1.212,Critical,3
2026-03-12,KYN,Kalyan Junction,16,6292,4000,1.573,Critical,3
2026-03-12,KYN,Kalyan Junction,17,13950,4000,3.487,Critical,3
2026-03-12,KYN,Kalyan Junction,18,11301,4000,2.825,Critical,3
2026-03-12,KYN,Kalyan Junction,19,9031,4000,2.258,Critical,3
2026-03-12,KYN,Kalyan Junction,20,6485,4000,1.621,Critical,3
2026-03-12,KYN,Kalyan Junction,21,6065,4000,1.516,Critical,3
2026-03-12,KYN,Kalyan Junction,22,3895,4000,0.974,Critical,3
2026-03-12,KYN,Kalyan Junction,23,4634,4000,1.159,Critical,3
2026-03-12,NMD,Nashik Road,0,267,2000,0.134,Low,3
2026-03-12,NMD,Nashik Road,1,435,2000,0.217,Low,3
2026-03-12,NMD,Nashik Road,2,323,2000,0.162,Low,3
2026-03-12,NMD,Nashik Road,3,544,2000,0.272,Low,3
2026-03-12,NMD,Nashik Road,4,195,2000,0.098,Low,3
2026-03-12,NMD,Nashik Road,5,1548,2000,0.774,High,3
2026-03-12,NMD,Nashik Road,6,1473,2000,0.737,High,3
2026-03-12,NMD,Nashik Road,7,4872,2000,2.436,Critical,3
2026-03-12,NMD,Nashik Road,8,5434,2000,2.717,Critical,3
2026-03-12,NMD,Nashik Road,9,5351,2000,2.675,Critical,3
2026-03-12,NMD,Nashik Road,10,2413,2000,1.206,Critical,3
2026-03-12,NMD,Nashik Road,11,2141,2000,1.071,Critical,3
2026-03-12,NMD,Nashik Road,12,1599,2000,0.799,High,3
2026-03-12,NMD,Nashik Road,13,1279,2000,0.639,Moderate,3
2026-03-12,NMD,Nashik Road,14,2350,2000,1.175,Critical,3
2026-03-12,NMD,Nashik Road,15,2316,2000,1.158,Critical,3
2026-03-12,NMD,Nashik Road,16,2957,2000,1.478,Critical,3
2026-03-12,NMD,Nashik Road,17,4531,2000,2.265,Critical,3
2026-03-12,NMD,Nashik Road,18,3727,2000,1.863,Critical,3
2026-03-12,NMD,Nashik Road,19,5979,2000,2.99,Critical,3
2026-03-12,NMD,Nashik Road,20,2897,2000,1.448,Critical,3
2026-03-12,NMD,Nashik Road,21,2281,2000,1.141,Critical,3
2026-03-12,NMD,Nashik Road,22,1412,2000,0.706,High,3
2026-03-12,NMD,Nashik Road,23,1452,2000,0.726,High,3
2026-03-12,MMR,Manmad Junction,0,257,2500,0.103,Low,3
2026-03-12,MMR,Manmad Junction,1,203,2500,0.081,Low,3
2026-03-12,MMR,Manmad Junction,2,144,2500,0.058,Low,3
2026-03-12,MMR,Manmad Junction,3,226,2500,0.09,Low,3
2026-03-12,MMR,Manmad Junction,4,283,2500,0.113,Low,3
2026-03-12,MMR,Manmad Junction,5,1162,2500,0.465,Moderate,3
2026-03-12,MMR,Manmad Junction,6,1452,2500,0.581,Moderate,3
2026-03-12,MMR,Manmad Junction,7,4179,2500,1.672,Critical,3
2026-03-12,MMR,Manmad Junction,8,3309,2500,1.324,Critical,3
2026-03-12,MMR,Manmad Junction,9,4198,2500,1.679,Critical,3
2026-03-12,MMR,Manmad Junction,10,1381,2500,0.552,Moderate,3
2026-03-12,MMR,Manmad Junction,11,2201,2500,0.88,High,3
2026-03-12,MMR,Manmad Junction,12,1081,2500,0.432,Moderate,3
2026-03-12,MMR,Manmad Junction,13,1201,2500,0.48,Moderate,3
2026-03-12,MMR,Manmad Junction,14,1392,2500,0.557,Moderate,3
2026-03-12,MMR,Manmad Junction,15,2177,2500,0.871,High,3
2026-03-12,MMR,Manmad Junction,16,1734,2500,0.694,Moderate,3
2026-03-12,MMR,Manmad Junction,17,2844,2500,1.138,Critical,3
2026-03-12,MMR,Manmad Junction,18,3414,2500,1.366,Critical,3
2026-03-12,MMR,Manmad Junction,19,4341,2500,1.736,Critical,3
2026-03-12,MMR,Manmad Junction,20,2086,2500,0.834,High,3
2026-03-12,MMR,Manmad Junction,21,1659,2500,0.664,Moderate,3
2026-03-12,MMR,Manmad Junction,22,1161,2500,0.464,Moderate,3
2026-03-12,MMR,Manmad Junction,23,935,2500,0.374,Low,3
2026-03-12,BSL,Bhusawal Junction,0,183,3000,0.061,Low,3
2026-03-12,BSL,Bhusawal Junction,1,286,3000,0.095,Low,3
2026-03-12,BSL,Bhusawal Junction,2,367,3000,0.122,Low,3
2026-03-12,BSL,Bhusawal Junction,3,578,3000,0.193,Low,3
2026-03-12,BSL,Bhusawal Junction,4,409,3000,0.136,Low,3
2026-03-12,BSL,Bhusawal Junction,5,1765,3000,0.588,Moderate,3
2026-03-12,BSL,Bhusawal Junction,6,1993,3000,0.664,Moderate,3
2026-03-12,BSL,Bhusawal Junction,7,5839,3000,1.946,Critical,3
2026-03-12,BSL,Bhusawal Junction,8,5653,3000,1.884,Critical,3
2026-03-12,BSL,Bhusawal Junction,9,5808,3000,1.936,Critical,3
2026-03-12,BSL,Bhusawal Junction,10,2325,3000,0.775,High,3
2026-03-12,BSL,Bhusawal Junction,11,2910,3000,0.97,Critical,3
2026-03-12,BSL,Bhusawal Junction,12,1978,3000,0.659,Moderate,3
2026-03-12,BSL,Bhusawal Junction,13,1923,3000,0.641,Moderate,3
2026-03-12,BSL,Bhusawal Junction,14,1793,3000,0.598,Moderate,3
2026-03-12,BSL,Bhusawal Junction,15,2183,3000,0.728,High,3
2026-03-12,BSL,Bhusawal Junction,16,3008,3000,1.003,Critical,3
2026-03-12,BSL,Bhusawal Junction,17,4074,3000,1.358,Critical,3
2026-03-12,BSL,Bhusawal Junction,18,5012,3000,1.671,Critical,3
2026-03-12,BSL,Bhusawal Junction,19,4810,3000,1.603,Critical,3
2026-03-12,BSL,Bhusawal Junction,20,2315,3000,0.772,High,3
2026-03-12,BSL,Bhusawal Junction,21,2595,3000,0.865,High,3
2026-03-12,BSL,Bhusawal Junction,22,1803,3000,0.601,Moderate,3
2026-03-12,BSL,Bhusawal Junction,23,2076,3000,0.692,Moderate,3
2026-03-12,ET,Itarsi Junction,0,320,3500,0.091,Low,3
2026-03-12,ET,Itarsi Junction,1,287,3500,0.082,Low,3
2026-03-12,ET,Itarsi Junction,2,297,3500,0.085,Low,3
2026-03-12,ET,Itarsi Junction,3,174,3500,0.05,Low,3
2026-03-12,ET,Itarsi Junction,4,420,3500,0.12,Low,3
2026-03-12,ET,Itarsi Junction,5,2043,3500,0.584,Moderate,3
2026-03-12,ET,Itarsi Junction,6,1493,3500,0.427,Moderate,3
2026-03-12,ET,Itarsi Junction,7,5523,3500,1.578,Critical,3
2026-03-12,ET,Itarsi Junction,8,6663,3500,1.904,Critical,3
2026-03-12,ET,Itarsi Junction,9,4395,3500,1.256,Critical,3
2026-03-12,ET,Itarsi Junction,10,2960,3500,0.846,High,3
2026-03-12,ET,Itarsi Junction,11,1736,3500,0.496,Moderate,3
2026-03-12,ET,Itarsi Junction,12,1658,3500,0.474,Moderate,3
2026-03-12,ET,Itarsi Junction,13,1074,3500,0.307,Low,3
2026-03-12,ET,Itarsi Junction,14,1718,3500,0.491,Moderate,3
2026-03-12,ET,Itarsi Junction,15,2389,3500,0.683,Moderate,3
2026-03-12,ET,Itarsi Junction,16,2214,3500,0.633,Moderate,3
2026-03-12,ET,Itarsi Junction,17,3637,3500,1.039,Critical,3
2026-03-12,ET,Itarsi Junction,18,4192,3500,1.198,Critical,3
2026-03-12,ET,Itarsi Junction,19,5307,3500,1.516,Critical,3
2026-03-12,ET,Itarsi Junction,20,2318,3500,0.662,Moderate,3
